Country,Sex,Age,MM,YYYY
AUSTRALIA,M,31,Jan,1998
USA,F,29,Dec,1997
AUSTRALIA,M,21,Nov,1997
MEXICO,M,28,Aug,1997
USA,F,28,Sep,1996
USA,M,,Nov,1995
USA,M,9,Sep,1995
USA,M,15,Aug,1995
TONGA,M,,Aug,1995
USA,M,,Aug,1995
USA,M,12,Apr,1995
SOUTH AFRICA,M,33,,1995
USA,M,,,1995
AUSTRALIA,M,44,Dec,1994
USA,F,25,Apr,1994
AUSTRALIA,M,32,Apr,1993
USA,M,,Aug,1992
USA,M,,Aug,1992
USA,M,,Jul,1992
USA,M,45,May,1992
AUSTRALIA,M,19,Feb,1992
JAPAN,,,Jan,1992
BAHAMAS,M,32,Sep,1991
SOUTH AFRICA,M,,Dec,1990
USA,M,30,Aug,1990
AUSTRALIA,M,27,Dec,1989
USA,M,,Nov,1989
USA,M,,Oct,1989
USA,M,49,Oct,1989
BERMUDA,M,35,Jul,1989
JAPAN,M,,Jun,1989
USA,M,24,Jan,1989
USA,M,,Apr,1988
SOUTH AFRICA,F,,Apr,1988
SOUTH AFRICA,M,22,Jan,1988
AUSTRALIA,M,,Jan,1988
AUSTRALIA,F,16 to 18,Dec,1987
SOUTH AFRICA,M,,Nov,1987
SOUTH AFRICA,M,14,Oct,1987
SOUTH AFRICA,M,,Apr,1987
MONTENEGRO,M,,,1987
SOUTH AFRICA,M,22,Dec,1986
USA,,,Sep,1986
SOUTH AFRICA,M,35,Aug,1986
SOUTH AFRICA,M,21,Sep,1985
USA,M,17,Sep,1985
USA,M,11,Aug,1985
USA,M,67,Aug,1985
SOUTH AFRICA,M,,Jan,1985
USA,M,22,Oct,1984
USA,F,77,Oct,1984
USA,F,31,Aug,1984
SOUTH AFRICA,M,21,Jul,1984
SOMALIA,M,,Mar,1984
SOUTH AFRICA,,,Feb,1984
GREECE,M,36,Dec,1983
SOUTH AFRICA,M,,Dec,1983
SOUTH AFRICA,F,,Nov,1983
ITALY,M,,Jun,1983
SOUTH AFRICA,M,,Apr,1983
SOUTH AFRICA,M,,Jan,1983
USA,M,mid-20s,Sep,1982
USA,M,17,Aug,1982
SOUTH AFRICA,M,20,Jul,1982
USA,M,43,Jul,1982
USA,F,Ca. 33,May,1982
USA,M,,Aug,1981
USA,M,,Jun,1981
SOUTH AFRICA,M,23,Jan,1981
SOUTH AFRICA,,,Dec,1980
SOUTH AFRICA,M,,Nov,1980
GREECE,M,,,1980
SOUTH AFRICA,M,20,,1980
USA,M,36,May,1979
SOUTH AFRICA,M,,Oct,1978
ITALY,,,Jun,1978
SOUTH AFRICA,M,,Jan,1978
USA,M,17,Aug,1977
AUSTRALIA,M,,May,1977
AUSTRALIA,M,,Feb,1977
AUSTRALIA,,,Nov,1976
SOUTH AFRICA,M,17,Nov,1976
USA,,,Apr,1976
USA,M,,Oct,1975
USA,,,Oct,1975
ITALY,M,37,Apr,1975
SOUTH AFRICA,M,,Apr,1975
SOUTH AFRICA,M,,Mar,1975
MOZAMBIQUE,F,20,Sep,1972
USA,,,Jul,1972
CROATIA,M,,,1971
,,,Aug,1970
USA,M,,Mar,1970
AUSTRALIA,M,,Apr,1969
AUSTRALIA,M,52,Feb,1969
SOUTH AFRICA,M,,Dec,1968
SOUTH AFRICA,M,30,Dec,1968
PAPUA NEW GUINEA,,,Nov,1968
USA,,,Sep,1968
MEXICO,M,43,Jul,1968
TANZANIA,,,May,1968
USA,M,63,Apr,1968
USA,M,28,Mar,1968
USA,,,,1968
USA,,,,1968
PAPUA NEW GUINEA,M,32,Dec,1967
SOUTH AFRICA,F,,Nov,1967
USA,M,,Sep,1967
ITALY,M,21,Sep,1967
AUSTRALIA,M,? & 19,Aug,1967
USA,M,18,Jul,1967
